date,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera
11/3/2015,unarmed,6,Male,White,Marksville,LA,FALSE,other,Car,TRUE
1/11/2016,unarmed,12,Female,White,Penn Township,PA,FALSE,other,Not fleeing,FALSE
9/14/2016,toy weapon,13,Male,Black,Columbus,OH,FALSE,other,Foot,FALSE
8/9/2016,gun,14,Male,Hispanic,Los Angeles,CA,FALSE,attack,Foot,TRUE
11/8/2017,knife,14,Male,Unknown,Odanah,WI,FALSE,other,Not fleeing,FALSE
11/19/2016,knife,15,Male,Asian,Watsonville,CA,FALSE,other,Foot,TRUE
8/9/2015,vehicle,15,Male,Black,Indianapolis,IN,FALSE,attack,Not fleeing,FALSE
8/3/2017,gun,15,Male,Black,Gary,IN,FALSE,attack,Foot,FALSE
4/19/2016,gun,15,Male,Black,St. Louis,MO,FALSE,attack,Other,FALSE
4/24/2017,gun,15,Male,Black,Killeen,TX,FALSE,attack,Not fleeing,FALSE
4/29/2017,unarmed,15,Male,Black,Balch Springs,TX,FALSE,undetermined,Not fleeing,TRUE
10/15/2015,gun,15,Male,Hispanic,Miami,FL,FALSE,attack,Car,FALSE
9/15/2017,crowbar,15,Male,Hispanic,Haymarket,VA,FALSE,other,Not fleeing,FALSE
5/6/2017,toy weapon,15,Male,White,San Diego,CA,TRUE,attack,Not fleeing,TRUE
6/14/2015,gun,15,Male,White,Cocoa,FL,TRUE,attack,Not fleeing,FALSE
11/20/2017,knife,15,Male,White,Gulfport,MS,FALSE,undetermined,Not fleeing,FALSE
2/23/2015,gun,16,Male,Black,Millbrook,AL,FALSE,attack,Not fleeing,FALSE
7/25/2017,toy weapon,16,Male,Black,Marion,AR,FALSE,attack,Not fleeing,FALSE
2/4/2018,gun,16,Male,Black,Los Angeles,CA,FALSE,other,Foot,FALSE
3/19/2015,gun,16,Male,Black,Jacksonville,FL,FALSE,attack,Car,FALSE
3/20/2016,toy weapon,16,Male,Black,Gainesville,FL,TRUE,other,Not fleeing,FALSE
4/11/2016,gun,16,Male,Black,Chicago,IL,FALSE,attack,Foot,FALSE
11/15/2015,unknown weapon,16,Male,Black,Germantown,PA,FALSE,attack,Not fleeing,FALSE
4/24/2017,gun,16,Male,Black,Houston,TX,FALSE,other,Foot,TRUE
2/6/2016,gun,16,Male,Hispanic,Los Angeles,CA,FALSE,attack,Car,TRUE
10/2/2016,toy weapon,16,Male,Hispanic,Los Angeles,CA,TRUE,attack,Not fleeing,TRUE
1/18/2017,knife,16,Male,Hispanic,Salinas,CA,FALSE,other,Not fleeing,TRUE
3/14/2017,unarmed,16,Female,Hispanic,Hayward,CA,FALSE,other,,FALSE
4/15/2017,unarmed,16,Male,Hispanic,Fresno,CA,FALSE,other,Foot,TRUE
5/9/2017,vehicle,16,Male,Hispanic,Bridgeport,CT,FALSE,undetermined,Car,FALSE
3/13/2016,unarmed,16,Male,Hispanic,Addison,TX,FALSE,undetermined,Car,FALSE
7/7/2017,undetermined,16,Male,White,Huntsville,AL,FALSE,attack,Car,FALSE
